stationCode	stationName	lat	lng
S05700	ABANO TERME	45.355199	11.811533
S01416	ABBADIA LARIANA	45.895864	9.335175
S12873	ABBASANTA	40.128801	8.817733
S01728	ABBIATE GUAZZONE	45.701903	8.918623
S01062	ABBIATEGRASSO	45.400631	8.921305
S12409	ACATE	36.996592	14.42545
S07423	ACCIANO	42.175994	13.711345
S09215	ACERRA	40.939066	14.372243
S09042	ACERRA(NEW)	40.93947	14.363579
S12328	ACIREALE	37.600514	15.163697
S08715	ACQUA ACETOSA	41.794294	12.616449
S11722	ACQUAFREDDA	40.035527	15.671846
S09798	ACQUAMELA	40.732151	14.770043
S01913	ACQUANEGRA CREMONESE	45.172102	9.888456
S11736	ACQUAPPESA	39.48648	15.955992
S07978	ACQUASPARTA	42.70376	12.54077
S12209	ACQUAVIVA CASTELTERMINI	37.570258	13.674927
S11504	ACQUAVIVA DELLE FONTI	40.892806	16.839826
S12026	ACQUEDOLCI-S.FRATELLO	38.058459	14.587597
S00867	ACQUI TERME	44.67407	8.474482
S11907	ACRI BISIGNANO LUZZI	39.441389	16.245177
S13098	ADELFIA	0.0	4.511256
S05420	ADRIA	45.06058	12.054228
S09044	AFRAGOLA ZONA COMMERCIALE	40.934616	14.357435
S11872	AFRICO NUOVO	38.053759	16.144283
S00804	AGLIANO CASTELNUOVO CALCEA	44.786108	8.267723
S12342	AGNONE DI S.	37.305203	15.077155
S00075	AGOGNATE	45.465139	8.603454
S12213	AGRIGENTO BASSA	37.319148	13.588094
S12216	AGRIGENTO CENTRALE	37.309051	13.584412
S11705	AGROPOLI CASTELLABATE	40.351521	15.002053
S08550	AIELLI	42.061964	13.581577
S00514	AIRASCA	44.928093	7.483536
S04481	AIROLE	43.870494	7.552757
S01515	AIRUNO	45.754086	9.422066
S02049	ALA	45.760087	10.996775
S07708	ALANNO	42.287185	14.019595
S02566	ALANO FENER VALDOBBIADENE	45.90229	11.944546
S04515	ALASSIO	44.007889	8.17112
S00825	ALBA	44.697713	8.030629
S07800	ALBA ADRIATICA-NERETO-CONTROGUERRA	42.83438	13.91733
S07207	ALBACINA	43.345686	12.986501
S01059	ALBAIRATE-VERMEZZO	45.40435	8.957308
S11453	ALBANO DI LUCANIA	40.574707	16.021247
S08704	ALBANO LAZIALE	41.72632	12.658056
S01534	ALBANO S.ALESSANDRO	45.682744	9.768027
S09004	ALBANOVA	40.996117	14.128596
S02538	ALBAREDO	45.670265	12.015104
S01450	ALBATE-TRECALLO	45.777391	9.095752
S04516	ALBENGA	44.04722	8.221663
S08001	ALBERESE	42.634158	11.1352
S06067	ALBERGO	-9.019376	4.511247
S13126	ALBEROBELLO	0.0	4.511256
S08003	ALBINIA	42.502165	11.21134
S04529	ALBISOLA	44.33469	8.512092
S01209	ALBIZZATE SOLBIATE ARNO	45.724117	8.80621
S00033	ALBONESE	45.297785	8.714601
S01863	ALBUZZANO	45.172504	9.261624
S12116	ALCAMO	37.93891	12.926125
S12150	ALCAMO DIRAMAZIONE	37.978894	12.915916
S12320	ALCANTARA	37.82145	15.251158
S00470	ALESSANDRIA	44.909091	8.606498
S13192	ALESSANO CORSANO	0.0	4.511256
S13171	ALEZIO	0.0	4.511256
S08908	ALFEDENA-SCONTRONE	41.738222	14.044662
S05808	ALFONSINE	44.512364	12.039155
S12310	ALI' TERME	38.013952	15.435184
S00809	ALICE BELCOLLE	44.722636	8.440076
S09020	ALIFE	-9.019376	4.511247
S08202	ALLERONA-CASTEL VISCARDO	42.78502	12.035236
S00216	ALPIGNANO	45.091077	7.523745
S11307	ALTAMURA	40.837666	16.551739
S04810	ALTARE	44.336169	8.332753
S09511	ALTAVILLA IRPINA	41.015265	14.782833
